Dynamic Discs,Deputy,Classic Soft,3,4,-1.5,0
Innova,Aviar3,Star,3,2,0,2
Vibram,Ridge,X-Link Medium,2,3,0,1
Innova,Wolf,DX,4,3,-4,1
Innova,Roc3,DX,5,4,0,3
Latitude 64,Compass,Opto,5,5,0,1
Discmania,MD4,C-Line,5,4,0,3
Westside Discs,Underworld,Moonshine,7,6,-3,1
Innova,Archangel,DX,8,6,-4,1
Discmania,FD,G-Line,7,6,-1,1
Latitude 64,Explorer,Opto,7,5,0,2
Discmania,FD3,C-Line,9,4,0,3
Discmania,FD3,S-Line,9,4,0,3
Innova,Destroyer,G-Star,12,5,-1,3
Innova,Destroyer,Champion,12,5,-1,3
Innova,Destroyer,Metal Flake,12,5,-1,3
Discmania,PD2,Blizzard C-Line,12,4,0,4
Discmania,PD2,Swirl S-Line,12,4,0,4
