Discmania,P2,Soft P-Line,2,4,0,1
Discmania,P2,Soft P-Line,2,4,0,2
Discmania,P3X,S-Line,3,2,0,3
Innova,Pig,R-Pro,3,1,0,3
MVP,Matrix,Proton,5,4,-1,2
Latitude64,Compass,Opto,5,4,0,0
Innova,Shark3,Champion,5,4,0,2
Discmania,Method,Neo,5,5,0,3
Discmania,MD4,C-Line,5,4,0,3
Dynamic Discs,Justice,Lucid,5,1,0.5,4
Discmania,FD,Star,7,4,-1,1
Discmania,FD,Champion,7,4,-1,1
Discmania,Instinct,Neo,7,4,0,2
Discmania,FD2,C-Line,7,4,0,2
Discmania,FD3,C-Line,7,4,0,3
Westside discs,Underworld,Elasto,7,6,-3,1
Dynamic Discs,Getaway,Fuzion,9,5,-1,3
Innova,Thunderbird,Metal Flake,9,5,0,2
Westside Discs,Sorcerer,Tournament,13,6,0,2
Innova,Destroyer,Star,12,5,-1,3
Discmania,DD3,Star,12,5,-1,3
Discmania,PD2,Swirl S-Line,12,4,0,4
Dynamic Discs,Trespass,Lucid,12,5,-0.5,3
